* ******************************************************************************

* iCEcube Pin Table

* Version:            2015.08.27744

* Build Date:         Oct 14 2015 00:32:18

* File Generated:     Jul 18 2016 09:41:11

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX1K
Package, VQ100

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, not used, , , , , , leftBank
3, PIO, not used, , , , , , leftBank
4, PIO, not used, , , , , , leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, not used, , , , , , leftBank
8, PIO, not used, , , , , , leftBank
9, PIO, not used, , , , , , leftBank
10, PIO, not used, , , , , , leftBank
11, VCC, not used, , , , , , UnknownBank
12, PIO, not used, , , , , , leftBank
13, PIO_GBIN, not used, , , , , , leftBank
14, VCCIO_3, not used, , , , , , leftBank
15, PIO_GBIN, CLK, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
16, PIO, not used, , , , , , leftBank
17, GND, not used, , , , , , UnknownBank
18, PIO, not used, , , , , , leftBank
19, PIO, not used, , , , , , leftBank
20, PIO, not used, , , , , , leftBank
21, PIO, not used, , , , , , leftBank
22, VCCIO_3, not used, , , , , , leftBank
23, GND, not used, , , , , , UnknownBank
24, PIO, not used, , , , , , leftBank
25, PIO, not used, , , , , , leftBank
26, PIO, not used, , , , , , bottomBank
27, PIO, not used, , , , , , bottomBank
28, PIO, not used, , , , , , bottomBank
29, PIO, not used, , , , , , bottomBank
30, PIO, not used, , , , , , bottomBank
31, VCCIO_2, not used, , , , , , bottomBank
32, GND, not used, , , , , , UnknownBank
33, PIO_GBIN, not used, , , , , , bottomBank
34, PIO_GBIN, not used, , , , , , bottomBank
35, VCC, not used, , , , , , UnknownBank
36, PIO, not used, , , , , , bottomBank
37, PIO, not used, , , , , , bottomBank
38, VCCIO_2, not used, , , , , , bottomBank
39, GND, not used, , , , , , UnknownBank
40, PIO, LED1, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
41, PIO, BUT1, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
42, PIO, BUT2, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
43, CDONE, not used, , , , , , bottomBank
44, CRESET_B, not used, , , , , , bottomBank
45, SPI_SO, not used, , , , , , bottomBank
46, SPI_SI, not used, , , , , , bottomBank
47, GND, not used, , , , , , UnknownBank
48, SPI_SCK, not used, , , , , , bottomBank
49, SPI_SS_B, not used, , , , , , bottomBank
50, VDDIO_SPI, not used, , , , , , bottomBank
51, PIO, LED2, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
52, PIO, not used, , , , , , rightBank
53, PIO, not used, , , , , , rightBank
54, PIO, not used, , , , , , rightBank
55, GND, not used, , , , , , UnknownBank
56, PIO, not used, , , , , , rightBank
57, PIO, not used, , , , , , rightBank
58, VCCIO_1, not used, , , , , , rightBank
59, PIO, not used, , , , , , rightBank
60, PIO, not used, , , , , , rightBank
61, VCC, not used, , , , , , UnknownBank
62, PIO_GBIN, not used, , , , , , rightBank
63, PIO_GBIN, not used, , , , , , rightBank
64, PIO, not used, , , , , , rightBank
65, PIO, not used, , , , , , rightBank
66, PIO, not used, , , , , , rightBank
67, VCCIO_1, not used, , , , , , rightBank
68, PIO, not used, , , , , , rightBank
69, PIO, not used, , , , , , rightBank
70, GND, not used, , , , , , UnknownBank
71, PIO, not used, , , , , , rightBank
72, PIO, not used, , , , , , rightBank
73, PIO, not used, , , , , , rightBank
74, PIO, not used, , , , , , rightBank
75, VPP_PUMP, not used, , , , , , UnknownBank
76, VPP_DIRECT, not used, , , , , , UnknownBank
77, VCC, not used, , , , , , UnknownBank
78, PIO, not used, , , , , , topBank
79, PIO, not used, , , , , , topBank
80, PIO, not used, , , , , , topBank
81, PIO, not used, , , , , , topBank
82, PIO, not used, , , , , , topBank
83, PIO, not used, , , , , , topBank
84, GND, not used, , , , , , UnknownBank
85, PIO, not used, , , , , , topBank
86, PIO, not used, , , , , , topBank
87, PIO, not used, , , , , , topBank
88, VCCIO_0, not used, , , , , , topBank
89, PIO_GBIN, not used, , , , , , topBank
90, PIO_GBIN, not used, , , , , , topBank
91, PIO, not used, , , , , , topBank
92, VCCIO_0, not used, , , , , , topBank
93, PIO, not used, , , , , , topBank
94, PIO, not used, , , , , , topBank
95, PIO, not used, , , , , , topBank
96, PIO, not used, , , , , , topBank
97, PIO, not used, , , , , , topBank
98, GND, not used, , , , , , UnknownBank
99, PIO, not used, , , , , , topBank
100, PIO, not used, , , , , , topBank
Total Number of Used Pins, 5
